abc,means,variances
614,1132.6111920833334,1521286.7575380811
618,177.93753916666665,191550.14582850528
621,521.0238466666666,136150.71814906757
626,2790.217603333333,9852852.320112137
630,6629.097445833333,44935363.50116161
633,8498.441056666667,80460121.3953514
634,790.0187997500001,822982.3063283578
635,1928.7409958333335,3934354.3637621626
637,736.6955404166666,1784630.730125623
638,393.1559870833333,563728.8717577623
644,1652.720570833333,3671409.1934942305
645,11495.86446125,161010472.33598885
653,653.1583458333333,494984.5087854283
654,2057.374616,6156043.775139016
658,1022.700649166667,2184158.7163128457
659,784.429372875,1085385.6429350486
660,301.5027520833334,27229.170037410775
662,476.3881266666667,510272.38844788005
663,683.5143274999999,1775959.2810456778
664,311.6652874999999,239173.7443659343
669,2825.4683499999996,8228242.174062465
672,284.89073208333326,91490.3150661143
673,3942.1474345833335,30752484.245332684
678,741.3287223749999,1679625.7642871635
679,770.7755333333333,738046.0995275853
680,678.7474195833335,494976.4465337287
688,673.5891,205493.767060115
689,564.8767049999999,1105434.0580648074
690,1430.1350250000003,5105466.259855713
692,181.44890591666672,31389.90515291908
693,1430.2052497916663,837310.4744585855
698,573.9919892500001,408613.2996814935
701,5163.432615000001,35525564.85905844
702,1176.7677179166665,2180362.8688292634
704,519.8334237500001,1079492.8635222514
705,993.669025,1681384.2529529973
710,1679.130222791667,5756710.585873785
715,856.1335624999998,285437.99930432317
717,345.1470268333333,59332.878525229484
719,240.49955875,47352.69997955734
723,251.27796208333336,32407.944355858654
724,4306.5045316666665,18782517.59584644
725,1758.7462858333336,5464767.770765747
727,2214.3527166666668,4299503.649836837
728,8753.583533333333,98791627.64528888
731,2713.744460833333,9002334.446909213
733,1625.8922412499999,4174139.562473597
734,1091.3504416666667,698170.1230779922
736,1234.0357958333334,1129241.990679214
737,254.61398541666674,133556.42519876553
744,481.24450166666685,466322.5701527053
745,5994.679715833335,50261874.155730784
751,289.92390083333333,134492.49894656226
752,1641.9500291666666,1559405.057397768
753,597.0740958333334,291347.61701796204
757,5958.288357916667,39269908.551227845
762,337.52393416666666,66079.07026177757
763,431.2364925,141317.56623681574
764,335.37679191666666,656090.7673432262
774,193.66333516666666,25715.467473590747
778,58.65037208333334,928.7592342882581
780,1649.2647554166663,2335260.9766112436
781,904.7822208333332,1611359.8245044139
784,1179.4203616666666,1303722.4389044724
787,5997.229644166669,72634715.36636443
790,880.3107291666665,656650.4435368628
805,156.95942041666666,3120.7032643888874
807,277.34118333333333,13193.148998390556
813,1402.4055499999997,1767616.6191792514
814,1313.6417875000002,3512324.261831051
815,2841.767658333334,7356920.254612892
816,2004.5027262500007,6567012.989411921
818,802.7031170833337,1532956.4431486297
820,1065.1554208333334,146758.3704723283
824,227.08124804166667,36744.82029687706
830,1206.7441591666668,4821301.877357419
832,810.7315833333333,1627254.4069312874
836,10506.103443333332,110488934.46130042
837,462.34358708333315,723609.5402593152
839,269.2075683333333,18138.803393058275
842,755.4547595833333,598160.3461568558
850,534.8772438333333,800886.3251180659
851,1013.4446833333333,454675.7488282605
854,332.74031025,113635.34735063778
855,625.94856625,545559.6952448243
857,566.7635570833335,319278.9070488923
860,316.8926520833333,174827.17004152402
862,194.30378833333336,21375.82759010563
