,AUC
228,0.5632653061224491
229,0.4786967418546366
230,0.2823529411764706
231,0.5411184210526315
232,0.26938895417156283
233,0.3055555555555556
234,0.38122996211017196
235,1.0
236,0.7180451127819548
237,0.9164086687306501
238,0.4210526315789474
239,0.6481158971580427
240,0.4930587337909992
241,0.5516460283902145
242,0.27058823529411763
243,0.4692982456140351
244,0.3898026315789474
245,0.49385854569063464
246,0.5737
247,0.5725616921269095
248,0.7222222222222223
249,0.715680559603614
250,0.7120743034055728
251,0.3308270676691729
252,0.500604047115675
253,0.45416666666666666
254,0.4235294117647058
255,0.4166666666666667
256,0.4598
257,0.5
258,0.3560606060606061
259,0.9935897435897436
260,0.556390977443609
261,0.43563699223747987
262,0.4649122807017544
263,0.4655388471177945
264,0.7467105263157895
265,0.5165841584158416
266,0.663924794359577
267,0.5639755173418829
268,0.7089783281733746
269,0.3308270676691729
270,0.4936575052854123
271,0.4527777777777778
272,0.3411764705882353
273,0.4842
274,0.5
275,0.30808080808080807
276,0.9903846153846154
277,0.5545112781954887
278,0.7999999999999999
279,0.45958804344384285
280,0.5087719298245615
281,0.4473684210526315
282,0.7417763157894737
283,0.5006397770924633
284,0.7091656874265571
285,0.5821917808219178
286,0.5046439628482973
287,0.33834586466165417
288,0.5102688009664754
289,0.4083333333333333
290,0.4117647058823529
291,0.2222222222222222
292,0.5090999999999999
293,0.6111111111111112
294,1.0
295,0.5601503759398496
296,0.6489795918367347
297,0.5334357742055408
298,0.4736842105263157
299,0.5068922305764412
300,0.549342105263158
301,0.5611291457014553
302,0.7732079905992949
303,0.5923928883707374
304,0.7275541795665634
305,0.5344306855934763
306,0.3763888888888889
307,0.3764705882352941
308,0.2222222222222222
309,0.49260000000000004
310,0.2777777777777778
311,0.4116161616161616
312,1.0
313,0.5601503759398496
314,0.7428571428571429
315,0.5246034007789494
316,0.368421052631579
317,0.47368421052631576
318,0.6036184210526315
319,0.5573756965860521
320,0.7306110458284372
321,0.4962110171961527
322,0.631578947368421
323,0.4360902255639098
324,0.5070975536091815
325,0.4375
326,0.34705882352941175
327,0.4722222222222222
328,0.4775
329,0.2222222222222222
330,0.3585858585858586
331,0.8557692307692308
332,0.5394736842105263
333,0.5795918367346938
334,0.4918554522351109
335,0.605263157894737
336,0.46428571428571425
337,0.5328947368421052
338,0.5110304063193204
339,0.5428446517050423
340,0.2752525252525253
341,0.983974358974359
342,0.5789473684210527
343,0.5541795665634676
344,0.5755555555555555
345,0.5238971040956412
346,0.32456140350877194
347,0.3625
348,0.5160072485653882
349,0.44862155388471175
350,0.6330689011524103
351,0.49989999999999996
352,0.2222222222222222
353,0.47070824832410374
354,1.0
355,0.5131578947368421
356,0.45510835913312697
357,0.6088888888888889
358,0.48325411317400174
359,0.34210526315789475
360,0.4888888888888888
361,0.514799154334038
362,0.44298245614035087
363,0.8408163265306122
364,0.6090569712708975
365,0.46299999999999997
366,0.5
367,0.4887787816962984
368,0.9871794871794872
369,0.5488721804511278
370,0.5077399380804953
371,0.57
372,0.55609268113622
373,0.4298245614035088
374,0.375
375,0.5137420718816068
376,0.4417293233082707
377,0.29411764705882354
378,0.621236406427528
379,0.5372
380,0.24999999999999997
381,0.47697464296123576
382,0.4582043343653251
383,0.3984962406015038
384,0.5626698882512836
385,0.4930555555555556
386,0.43529411764705883
387,0.5833333333333333
388,0.4897
389,0.6666666666666666
390,0.44191919191919193
391,1.0
392,0.5977443609022557
393,0.926530612244898
394,0.6230703646238304
395,0.2807017543859649
396,0.443609022556391
397,0.6322735757182276
398,0.768801410105758
399,0.5846691926552026
400,0.36230732965320217
401,0.5282392026578073
402,0.5087719298245614
403,0.5402777777777777
404,0.44444444444444453
405,0.16666666666666666
